NAF rev. 2,BE,CZ,(C1),(C2),(C3),[CI],[CJ],[CK],(C4),[CL1],[CL2],(C5),[CB],[CC],[CE],[CF],[CG],[CH],[CM],DE,[BZ],[DZ],[EZ],FZ,RM040,RM050,RM060,RM070,RM090
_200907,97.42,97.3,97.04,218.01,95.71,95.99,118.37,85.48,108.91,117.86,99.2,94.14,111.48,124.9,80.59,74.09,98.21,104.11,91.29,99.02,105.45,98.12,104.18,124.93,99.9,98.02,87.36,91.3,102.93
_200908,98.99,98.81,95.61,200.4,94.65,88.94,114.48,91.28,113.87,125.48,101.46,96.51,109.18,122.36,81.88,73.29,99.04,113.25,93.6,100.95,106.24,99.89,108.12,122.42,102.11,101.69,86.91,89.77,104.44
_200909,99.53,99.7,97.2,197.19,95.87,95.42,114.77,88.06,115.22,125.2,104.44,97.06,113.46,122.88,82.77,82.55,101.65,108.37,91.29,99.25,104.41,98.74,102.03,124.76,101.57,100.86,90.1,94.25,102.71
_200910,98.88,98.91,95.55,197.47,95.11,93.88,119.82,85.36,117.72,126.46,108.17,95.84,110.69,123.97,88.73,69.93,100.9,107.43,91.32,99.52,103.3,98.8,104.96,123.78,103.3,100.84,89.95,89.14,103.08
_200911,99.84,100.3,96.95,189.63,100.11,105.56,119.8,86.48,116.93,122.86,110.22,96.79,108.45,125.76,85.36,77.6,100.31,110,91,97.68,106.8,96.6,102.46,126.4,103.27,102.32,90.69,92.33,100.68
_200912,99.52,99.16,95.57,191.25,98.11,98.02,122.08,87.66,112.71,123.12,101.51,96.51,114.09,126.05,82.62,78.59,99.65,109.48,90.95,102.66,100.09,102.91,104.32,120.7,102.43,99.73,91.55,92.34,106.4
_201001,100.57,99.73,97.1,182.65,97.61,97.15,119.64,88.2,120.09,124.09,115.56,95.82,114.01,122.68,81.74,72.92,97.51,108.95,94.64,106.91,95.46,108.84,101.63,119.32,100.6,104.11,90.62,91.15,110.9
_201002,99.92,99.16,97.11,197.49,98.87,97.23,116.58,92.59,112.92,123.14,101.87,95.83,115.28,123.61,84.29,70.74,99.49,107.58,93.91,105.66,97.29,107.04,102.35,120.14,101.71,101.77,88.76,90.8,109.95
_201003,101.88,101.4,97.95,227.7,99.93,98.67,120.73,91.88,115.42,130.44,99.32,98.44,117.98,121.81,83.09,74.49,101.49,110.39,99.51,105.86,105.51,106.69,101.32,124.23,103.35,104.87,91.98,92.21,110.62
_201004,101.49,101.3,96.68,220.36,100.13,99.2,123.44,90.63,120.44,123.88,116.48,97.6,111.87,121.72,85.12,70.84,101.9,113.04,95.53,103.53,105.98,103.5,103.24,124.38,104.92,105.14,89.51,90.03,107.83
_201005,102.27,101.86,98.39,200.99,101.44,99.58,124.43,93,117.03,122.38,111.09,98.63,113.74,121.59,85.99,72.77,103.86,114.63,95.18,105.81,107.83,106.67,99.47,124.12,106.01,104.52,91.4,91.74,109.4
_201006,101.89,101.67,97.14,192.81,101.13,95.48,125.13,96.02,117.28,123.97,109.91,98.75,112.36,121.59,85.71,74.16,103.41,113.79,96.19,104.12,108.97,104.67,98.19,124.76,105.3,105.46,84.7,91.53,107.34
_201007,102.61,102.37,99.31,200.39,99.9,96.04,125.51,92.27,115.91,126.44,104.53,99.93,116.32,122,86.7,77.16,103.4,114.6,97.17,104.99,107.51,104.83,105.64,122.6,106.26,104.15,89.46,93.89,108.67
_201008,101.41,101.1,97.51,203.91,102.61,99.55,121.84,97.06,112.06,119.9,103.51,98.22,109.7,121.63,84.98,71.6,103.71,111.89,97.94,104.27,107.14,105.16,97.19,121.68,104.8,104.05,94.99,90.73,108.04
_201009,102.79,102.63,98.31,213.25,103.86,98.71,127.34,98.48,119.41,129.68,108.28,98.76,114.04,123.26,85.09,68.12,104.27,114.66,98.43,104.65,107.22,104.98,101.74,122.73,106.2,106.86,97.66,90.36,108.76
_201010,102.56,102.28,98.19,91.72,107.52,103.53,127.15,102.71,118.2,130.4,105.05,98.55,109.15,123.21,81.72,70.94,106.38,114.74,97.29,105.21,106.61,105.83,100.98,123.42,106.36,107.09,96.05,90.97,105.2
_201011,103.9,103.46,98.69,198.52,107.36,103.64,132.1,99.99,117.42,135.48,98.11,99.73,111.15,123.33,85.7,69.19,106.48,116.91,98.52,107.57,107.14,108.96,99.12,121.44,108.33,107.02,93.77,91.05,111.39
_201012,105.26,104.46,96.77,205.4,106.13,100.97,128.5,101.24,123.42,135.67,110.2,101.01,116.57,120.64,86.85,70.52,103.82,115.75,104.78,111.33,92.99,113.99,105.3,108.87,106.54,110.88,94.95,91.03,116.49
_201101,106.49,106.78,100.59,212.11,109.21,104.5,130.48,104.42,124.3,139.61,107.49,102.96,116.54,123.3,89.93,67.86,115.28,121.86,99.43,105.22,107.12,105.52,102.57,123.86,113.02,110.36,92.76,92.66,109.33
_201102,106.86,107.77,100.45,202.21,109.14,103.53,133.42,103.94,127.73,142.25,111.82,104.18,116.49,123.04,92.1,73.58,113.73,122.1,100.28,102.02,108.7,101.83,100.13,123.14,113.55,111.48,94.65,94.25,105.56
_201103,105.51,106.3,101.49,197.83,105.66,99.81,129.51,100.86,122.61,138.32,105.34,103.25,121.46,123.24,93.19,68.36,111.57,120.73,100.75,101.4,105.34,101.65,97.86,120.64,112.26,108.77,98.39,93.72,104.89
_201104,103.74,104.9,99.8,180.64,106.69,100.37,131.51,101.93,121.62,133.21,109,101.42,117.72,121.83,90.63,65.57,110.35,119.33,99.5,97.42,102.53,96.25,104.05,119.84,110.7,108.25,96.39,91.77,100.37
_201105,107.12,108.31,100.12,199.93,111.62,103.86,135.62,108.54,129.15,142.42,114.67,104.32,117.94,121.69,92.3,67.64,113.8,122.9,104.12,100.64,107.14,99.59,105.61,121.38,112.78,114.53,101.17,92.8,104.12
_201106,104.22,104.25,102.12,193.04,101.92,98.59,126.14,94.63,120.7,135.13,104.88,100.95,116.53,119.87,90.68,65.68,108.32,117.95,100.67,104.5,100.34,104.84,105.18,117.36,109.42,107.12,94.11,92.25,108.28
_201107,105.36,105.77,103.21,183.16,106.59,100.39,128.36,102.99,122.7,132.15,112.48,101.82,119.1,119.78,91.54,70.81,108.28,118.73,99.33,103.37,103.22,103.81,100.9,118.35,109.97,108.79,96.53,95.04,106.55
_201108,104.46,104.58,99.59,188.64,107.18,101.32,132.38,101.83,115.4,125.43,104.51,101.84,108.73,118.58,89.62,72.95,108.03,117.78,102.33,104.24,106.24,104.1,104.94,120.33,109.5,107.63,100.83,92.48,107.44
_201109,103.74,103.94,101.28,190.25,103.88,97.03,125.42,100.99,120.75,124.71,116.73,100.16,110.04,119.33,88,67.98,106.23,118.45,99.68,103.02,104.54,102.48,107.04,118.23,107.71,107.86,96.98,92.46,106.28
_201110,103.94,104.15,101.48,192.82,103.26,99.78,123.95,97.57,124.24,131.03,117.05,99.97,114.71,115.58,85.14,70.25,106.58,116.22,101.19,103.15,103.95,102.78,106.3,116.93,106.05,109.1,94.97,93.63,106.62
_201111,106.06,106.97,101.87,199.83,109.1,100.28,125.89,110.04,125.63,135.14,115.37,102.85,115.01,117.46,89.46,72.09,108.72,119.67,104.48,101.22,105.01,100.2,107.53,118.47,108.72,113.6,94.59,94.68,104.81
_201112,103.98,104.83,99.44,205.2,103.11,92.64,125.78,103.15,128.87,128.64,129.6,100.73,114.6,115.78,87.97,71.08,106.21,116.52,101.98,99.46,102.4,98.6,105.09,115.54,106.54,111.22,91.61,92.84,103.38
_201201,103.39,103.95,99.14,179.21,108.6,105.99,127.36,102.99,122.46,129.56,116.03,99.22,114.65,115.82,90.22,66.31,104.15,117.01,97.77,100.65,106.77,99.42,107.69,119.72,107.58,109.12,97.63,91.13,103.47
_201202,104.41,102.49,100.27,165.5,103.94,99.69,121.77,100.24,118.43,125.26,112.25,98.6,117.89,113.34,84.1,72.96,98.04,115.52,100.57,115.83,80.76,119.01,110.25,102.07,101.44,108.11,96.62,94.18,119.77
_201203,103.68,104.56,100.92,160.86,103.72,97.8,121.38,101.63,124.87,125.02,124.9,100.85,118.04,116.11,87.8,71.89,105.51,115.94,102.17,99.12,103.24,97.4,112.17,114.32,105.76,110.7,94.45,94.21,101.35
_201204,103.88,102.91,100.83,155.89,104.47,98.99,119.96,102.9,115.95,120.53,111.86,99.66,115.46,113.06,89.46,78.71,101.68,111.61,99.51,109.84,97.96,110.92,107.82,112.94,103.35,106.9,97.04,95.88,112.25
_201205,102.38,102.52,101.29,153.28,103.36,96.9,121.99,101.33,116.4,120.44,112.81,99.11,120.22,111.49,88.9,77.05,101.64,111.46,98.34,102.02,101.15,100.89,113,113.89,103.86,105.99,94.59,95.46,104.05
_201206,101.53,101.6,101.09,175.1,99.12,91.26,124.82,95.34,114.13,118.54,110.18,98.83,112.96,112.35,86.92,76.32,101.44,110.75,100.6,101.52,102.16,100.49,110.42,112.83,103.27,104.35,95.01,94.41,104.45
_201207,102.13,102.52,99.86,185.97,104.05,95.77,119.63,105.03,116.23,119.64,113.21,98.89,114.64,110.89,86.17,73.42,101.2,111.97,102.35,100.33,99.76,99.18,111.34,115.33,102.36,108.2,96.55,93.3,103.88
_201208,104.22,104.69,101.22,182.47,106.03,96.61,121.47,108.13,120.11,119.03,121.27,101.05,116.75,111.35,87.6,79.08,102.68,113.61,104.24,101.97,97.26,100.09,122.57,116.76,104.02,110.88,97.12,95.57,105.54
_201209,102.06,102.32,100.62,164.65,100.73,91.66,125.53,98.46,114.83,116.26,113.66,99.77,111.56,110.23,90.19,74.62,101.62,112.35,102.84,101,98.62,99.84,113.22,110.09,103.9,106.33,93.31,93.92,103.68
_201210,100.65,100.43,101.69,173.81,100.12,90.65,119.55,100.52,110.16,108.15,112.19,97.2,116.38,111.66,89.09,65.79,100.51,110.07,99.44,102.29,102,102.83,97.26,114.07,102.17,103.98,93.07,92.25,105.16
_201211,100.79,100.44,100.44,168.57,99.06,92.37,117.8,97.2,115.04,107.68,122.04,96.91,117.64,108.38,87.77,71.18,98.77,107.73,99.7,103.24,101.95,103.46,101.9,114.32,100.33,105.42,90.99,92.98,105.88
_201212,101.31,101.39,102.22,161.98,98.78,92.13,116.71,97.22,116.06,110.43,121.44,98.05,114.62,110.13,90.02,70.9,99.23,109.79,101.17,101.3,100.77,101.02,104.06,113.17,101.29,105.95,95.34,94.42,103.69
_201301,101.08,100.87,99.01,160.97,103.03,99.12,119.08,99.73,111.5,104.5,117.97,97.74,112.62,109.6,90.7,75.48,95.86,107.15,101.68,102.72,91.17,103.56,101.61,108.9,100.38,105.99,91.79,93.49,105.63
_201302,102.65,101.6,99.57,174.39,103.69,101.15,120.99,98.53,115.18,102.7,127.28,97.81,108.64,110.63,91.13,72.28,99.1,108.58,100.63,108.97,93.8,109.84,109.96,111.85,102.04,106.67,92.92,92.81,112.37
_201303,102.87,101.83,98.96,174.35,106.06,102.05,124.78,101.65,115.99,109.45,121.94,97.61,106.09,109.56,91.19,73.49,98.11,107.88,101.07,109.14,93.97,110.33,106.81,110.23,101.67,107.65,95.76,92.65,112.51
_201304,104.18,103.32,100.09,178.22,104.27,98.87,119.34,102.84,123.14,115.32,130.36,98.91,109.7,110.51,93.46,75.27,101.2,109.57,99.57,109.49,98,110.31,108.32,115.32,103.91,109,89.59,93.96,112.78
_201305,103.84,103.06,100.47,183.68,102.75,95.76,121.33,101.25,122.98,115.66,129.69,98.7,114.51,109.68,91.64,78.12,99.11,110.21,98.39,108.67,95.62,109.38,109.84,115.2,102.62,108.15,88.84,95.53,112.33
_201306,102.33,102.4,95.59,182.15,104.3,97.19,121.77,103.43,124.14,113.05,134.73,98.28,112.63,109.09,92.41,74.49,101.43,108.65,98.6,102.43,96.59,101.84,112.18,114.5,102.71,108.84,92.34,91.98,105.91
_201307,101.69,101.56,97.44,173.43,103.09,95.93,119.44,102.76,117.61,104.9,129.93,98.01,111.97,106.69,91.2,72.4,101.65,110.18,98.89,102.89,101.72,101.82,114.23,117.56,102.94,107.1,88.86,91.67,105.71
_201308,100.9,100.47,99.41,162.62,99.21,93.85,116.7,96.64,117.29,101.37,132.92,96.76,106.65,108.09,89.26,69.43,99.8,109.87,98.69,103.8,100.05,100.82,137.06,114.51,102.3,105.46,85.13,91.05,106.31
_201309,101.84,101.75,97.88,154.3,104.12,98.43,119.36,102.89,122.99,112.65,132.83,97.17,106.47,107.82,91.22,74.01,101.18,109.38,95.99,102.83,98.35,100.9,125.56,115.56,102.83,107.31,95.75,92.08,105.04
_201310,101.43,101.91,98.47,138.06,102.88,96.4,119.6,101.72,124.33,114.48,133.64,97.54,109.66,106.89,94.47,71.73,100.42,110.69,95.83,99.25,97.52,98.63,106.3,116.72,104.02,107.59,89.04,91.77,100.68
_201311,102.92,102.78,99.87,170.33,102.86,96.31,116.32,103.26,127.72,117.54,137.34,97.6,109.52,108.59,94.64,72.52,100.51,109.61,95.9,104.23,96.52,104.18,109.64,112.23,103.73,108.61,92.04,92.86,107.05
_201312,101.95,102.06,99.9,143.27,104.36,99.51,122.75,100.9,120.47,116.79,123.43,97.72,109.16,107.86,93.56,72.2,102.1,109.14,96.97,101.8,100.39,101.37,106.62,116.5,104.11,106.58,100.45,92.74,103.25
_201401,100.52,101.2,98.69,164.95,100.72,92.5,114.19,102.69,122.33,115.47,128.6,96.85,109.77,109.02,95.36,66.51,99.2,109.18,96.87,97.29,97.16,96.26,107.92,115.1,102.76,106.84,89.04,91.14,99.78
_201402,102.38,103,100.53,152.91,103.64,97.8,113.93,104.79,122.39,116.48,127.76,98.84,113.1,109.54,95.61,73.3,102.37,110.06,97.59,99.48,96.11,98.8,108.52,113.3,103.71,108.81,85.63,94.42,101.61
_201403,101.75,102.61,98.23,160.1,104.6,96.38,121.65,104.92,123.56,115.18,131.28,98.25,112.19,110.26,96.62,71.02,100.4,109.28,97.62,97.55,95.38,96.28,112.24,112.6,104.27,108.08,91.49,92.58,99.95
_201404,101.71,102.49,100.47,160.26,100.83,93.27,113.22,102.67,123.34,114.37,131.63,98.43,118.77,107.89,95.61,70.92,100,110,98.38,97.98,97.03,96.65,112.42,113.22,103.36,107.87,86.09,94.01,100.3
_201405,100.13,99.88,98.62,152.09,98.29,93.01,107.59,99.35,119.22,113.95,123.99,95.96,109.33,105.77,94.63,66.03,97.53,105.88,98.77,101.71,89.4,101.62,110.61,108.85,100.47,106,85.85,90.59,104.22
_201406,101.59,101.85,99,151.51,101.28,93.26,110.02,105.28,125.36,116.8,133.24,97.31,112.7,109.03,95,65.55,99.39,109.62,98.66,100.58,91.27,100.05,112.14,111.45,102.33,109.03,88.28,91.33,102.93
_201407,102.43,102.56,98.97,160.31,102.81,97.45,113,103.54,127.76,117.56,137.22,97.6,114.68,109.01,96.52,67.2,98.81,108.61,98.76,102.05,92.14,102.81,99.83,111.93,102.68,109.94,87.58,92.11,104.7
_201408,100.75,100.75,98.12,165.54,95.79,90.35,106.64,96.27,123.19,119,126.91,97.3,106.51,104.64,95.47,73.47,96.47,108.15,99.04,101.09,93.38,101.45,101.62,110.19,101.32,106.63,80.63,91.97,103.86
_201409,101.97,102.32,100.03,168.23,100.9,92.84,109.69,104.92,123.18,117.75,128.09,98.16,113.24,107.68,94.19,73.25,97.45,106.22,102.65,100.46,91.71,100.32,107.37,109.89,101.09,109.07,87.42,94.16,103.41
_201410,100.39,101.08,98.51,173.29,97.98,94.24,108.35,97.01,124.03,114.24,133.1,96.96,109.14,106.64,94.72,73.36,97.49,106.82,97.64,97.13,92.07,96.3,109.05,109.99,100.58,106.52,86.72,93.47,100.22
_201411,98.99,99.58,97.33,167.03,98.43,89.72,110.78,101.4,114.56,111.9,116.83,96.47,103.67,104.97,94.88,73.59,96.52,106.68,97.44,96.22,88.68,95.23,111.66,105,100.48,103.89,79.68,92.21,99.23
_201412,102.45,102.66,99.2,170.37,105.33,92.24,113.58,114.55,123.93,112.44,134.61,97.67,110.24,106.18,96.4,74.24,96.65,106.97,99.33,101.71,90.05,101.53,111.17,109.62,101.66,110.22,76.31,93.86,104.84
_201501,102.12,102,98.78,175.35,99.84,94.62,104.76,102.87,123.94,117.84,128.83,97.99,110.38,106.84,96.38,79.42,98.25,106.41,96.62,103.18,96.87,102.82,110.53,109.41,101.35,107.13,86.13,95.19,106.21
_201502,103.1,102.32,98.09,177.09,98.54,94.35,106.54,99.08,129.23,121.81,135.17,97.99,110.07,103.91,96.93,81.26,96.41,107.65,96.43,107.77,93.1,108.45,108.97,107.12,101.83,107.8,87.81,94.6,111.09
_201503,102.93,102.97,100.26,197.29,100.29,94.25,111.67,100.99,126.98,120.45,132.2,98.26,108.11,105.33,96.03,82.99,98.08,108.25,95.6,103.05,94.94,102.89,109.43,111.8,102.39,107.43,84.49,96.47,107.07
_201504,101.91,102.32,99.55,172.27,101.31,97.63,107.95,102.04,122.43,124.65,120.71,98.3,104.69,104.79,96.01,80.89,98.39,107.87,97.7,100.09,97.38,99.42,108.64,109.13,102.19,106.99,90.21,95.32,102.99
_201505,102.61,103.32,100.02,169.88,105.16,107.26,108.1,102.1,125.17,121.14,128.42,98.46,108.41,104.26,97.99,82.28,98.39,107.86,95.86,99.1,97.13,98.28,108.92,107.79,103.19,107.58,102.77,96.12,101.94
_201506,102.85,103.09,100.87,149.74,104.82,100.57,108.91,107.34,125.27,121.94,127.97,98.11,105.67,103.49,97.58,80.49,98.76,107.34,96.5,101.94,99.54,101.46,108.32,110.38,102.63,108.39,98.92,95.77,103.87
_201507,101.98,101.79,100.17,155.59,98.05,92.45,108.15,98.93,122.87,120.15,125.07,98.12,106.82,104.63,97.88,81.17,98.52,106.35,96.4,103.39,97,103.01,111.05,107.88,102.73,105.36,84.87,95.59,105.67
_201508,102.84,103.23,99.88,152.98,101.52,99.98,106.46,100.99,131.32,135.62,127.95,98.22,108.36,106.25,97.33,81.84,96.21,105.4,98.31,101.12,94.14,100.9,107.48,107.44,100.91,110.29,91.32,96.21,103.42
_201509,103.84,104.25,100.9,181.23,105.56,106.78,107.97,103.61,130.39,125.29,134.49,98.53,110.89,104.41,95.4,82.43,99.64,109.24,95.43,102.02,97.53,102.2,102.37,109.21,102.62,110.51,92.65,96.75,105.27
_201510,103.95,103.32,99.78,185.57,102.69,100.39,106.76,103.33,127.43,127.14,127.7,98.48,106.65,103.99,97.26,82.08,100.59,109.26,94.39,107.74,96.71,108.47,106.16,107.7,103.32,107.51,101.67,95.72,111.23
_201511,101.64,102.43,99.65,172.65,99.38,98.65,104.69,97.89,121.14,127.62,116.02,99.2,113.1,106.55,99.05,81.03,100.97,108.6,95.08,97.72,97.68,96.97,105.66,109.48,103.55,104.77,97.79,96.35,100.64
_201512,101.97,103.49,99.91,160.83,99.62,93.72,104.68,103.25,124.31,122.39,125.87,100.44,107.38,105.69,99.87,88.86,99.29,107.76,98.56,94.08,96.42,92.62,108.31,108.14,102.72,107.97,91.28,97.71,96.58
_201601,103.56,104.59,100.34,170.99,99.46,91.16,107.4,104.16,132.5,128.57,135.71,100.52,113.2,106.93,102.84,82.36,101.96,109.17,96.18,98.43,97.98,97.57,108.14,110.23,104.21,109.46,90.46,97.78,101.26
_201602,103.41,103.26,99.65,169.8,101.61,95.97,106.79,104.96,131.09,127.51,134.02,98.13,114.16,104.61,99.27,77.05,100.63,107.78,93.98,104.53,97.92,104.64,106.93,102.1,103.1,108.98,88.93,95.24,107.33
_201603,102.62,102.02,99.77,174.72,97.85,94.12,103.72,98.93,128.78,125.62,131.35,97.23,106.91,103.88,97.05,81.24,99.11,105.96,93.4,106.18,91.73,107.04,104.84,103.3,101.19,106.25,91.89,95.91,109.47
_201604,104.09,103.82,98.72,175.41,100.11,94.97,104.83,103.17,136.1,132.37,139.15,98.75,111.11,104.48,98.15,78.48,100.39,107.66,97.2,105.85,93.88,106.5,105.45,104.14,102.16,111.38,90.42,94.79,109.06
_201605,102.29,102.61,97.84,136.48,99.1,95.73,105.21,99.71,130.08,127.46,132.23,98.81,111.17,104.08,94.19,80.89,100.58,108.75,97.84,100.92,95.61,101.01,102.83,107.14,101.19,109.41,91.32,95.16,102.48
_201606,101.69,101.67,97.52,114.29,97.46,95.91,105.97,95.07,132.07,129.64,134.07,97.59,105.66,103.28,91.02,84.96,100.87,107.48,94.82,102.14,95.21,102.95,96.89,106.42,100.73,107.84,87.07,95.4,102.83
_201607,101.64,102.18,98.79,171.52,96.66,92.98,104.6,96.69,128.02,126.07,129.62,98.31,105.9,103.18,98.41,82,99.68,107.32,95.49,99.1,94.92,99,102.45,106.4,101.55,107.15,88.25,95.32,102.08
_201608,103.43,103.95,99.87,170.72,100.63,96.45,108.62,101.15,132.57,135.82,129.96,99.22,109.1,105.6,100.7,84.27,101.64,105.43,95.52,101.07,97.96,100.82,105.44,112.78,103.97,107.92,102.82,97.15,103.88
